"","month","year","ORIGIN","DEST","Flights"
"464",4,2000,"SEA","HLN",2
"465",4,2000,"SEA","HNL",2
"466",4,2000,"SEA","IAD",3
"467",4,2000,"SEA","IAH",2
"468",4,2000,"SEA","JFK",3
"469",4,2000,"SEA","JNU",3
"470",4,2000,"SEA","KTN",3
"471",4,2000,"SEA","LAS",7
"472",4,2000,"SEA","LAX",11
"473",4,2000,"SEA","LWS",1
"474",4,2000,"SEA","MCI",1
"475",4,2000,"SEA","MEM",2
"476",4,2000,"SEA","MFR",1
"477",4,2000,"SEA","MIA",1
"478",4,2000,"SEA","MSO",1
"479",4,2000,"SEA","MSP",5
"480",4,2000,"SEA","MWH",1
"481",4,2000,"SEA","OAK",5
"482",4,2000,"SEA","OKC",1
"483",4,2000,"SEA","ORD",11
"484",4,2000,"SEA","PDX",8
"485",4,2000,"SEA","PHL",3
"486",4,2000,"SEA","PHX",7
"487",4,2000,"SEA","PIT",3
"488",4,2000,"SEA","PUW",1
"489",4,2000,"SEA","RDM",1
"490",4,2000,"SEA","RNO",6
"491",4,2000,"SEA","SAN",2
"492",4,2000,"SEA","SFO",7
"493",4,2000,"SEA","SJC",7
"494",4,2000,"SEA","SLC",7
"495",4,2000,"SEA","SMF",6
"496",4,2000,"SEA","SNA",4
"497",4,2000,"SEA","SPS",1
"498",4,2000,"SEA","STL",2
"499",4,2000,"SEA","TUL",1
"500",4,2000,"SEA","TWF",1
"501",4,2000,"SEA","YKM",1
"502",4,2000,"SFO","SEA",6
"503",4,2000,"SJC","SEA",7
"504",4,2000,"SLC","SEA",7
"505",4,2000,"SMF","SEA",7
"506",4,2000,"SNA","SEA",4
"507",4,2000,"STL","SEA",2
"508",4,2000,"YKM","SEA",1
"509",5,2000,"ABQ","SEA",2
"510",5,2000,"ALW","SEA",1
"511",5,2000,"ANC","SEA",8
"512",5,2000,"ATL","SEA",3
"513",5,2000,"BIL","SEA",1
"514",5,2000,"BLI","SEA",1
"515",5,2000,"BNA","SEA",1
"516",5,2000,"BOS","SEA",1
"517",5,2000,"BTM","SEA",2
"518",5,2000,"BZN","SEA",1
"519",5,2000,"CLE","SEA",1
"520",5,2000,"CLM","SEA",1
"521",5,2000,"CLT","SEA",1
"522",5,2000,"CVG","SEA",2
"523",5,2000,"DET","SEA",1
"524",5,2000,"DFW","SEA",3
"525",5,2000,"DTW","SEA",4
"526",5,2000,"EAT","SEA",1
"527",5,2000,"EKO","SEA",1
"528",5,2000,"EUG","SEA",1
"529",5,2000,"EWR","SEA",4
"530",5,2000,"FAI","SEA",2
"531",5,2000,"FAT","SEA",1
"532",5,2000,"FCA","SEA",1
"533",5,2000,"GEG","SEA",9
"534",5,2000,"GTF","SEA",2
"535",5,2000,"HLN","SEA",1
"536",5,2000,"HNL","SEA",2
"537",5,2000,"IAD","SEA",4
"538",5,2000,"IAH","SEA",3
"539",5,2000,"JFK","SEA",4
"540",5,2000,"JNU","SEA",3
"541",5,2000,"KTN","SEA",3
"542",5,2000,"LAS","SEA",6
"543",5,2000,"LAX","SEA",9
"544",5,2000,"LWS","SEA",1
"545",5,2000,"MCI","SEA",1
"546",5,2000,"MDW","SEA",1
"547",5,2000,"MEM","SEA",2
"548",5,2000,"MFR","SEA",1
"549",5,2000,"MIA","SEA",2
"550",5,2000,"MSO","SEA",1
"551",5,2000,"MSP","SEA",10
"552",5,2000,"MWH","SEA",1
"553",5,2000,"OAK","SEA",6
"554",5,2000,"ORD","SEA",9
"555",5,2000,"PDX","SEA",9
"556",5,2000,"PHL","SEA",3
"557",5,2000,"PHX","SEA",7
"558",5,2000,"PIT","SEA",2
"559",5,2000,"PUW","SEA",1
"560",5,2000,"RDM","SEA",1
"561",5,2000,"RNO","SEA",6
"562",5,2000,"SAN","SEA",2
"563",5,2000,"SEA","ABI",1
"564",5,2000,"SEA","ABQ",1
"565",5,2000,"SEA","ALB",1
"566",5,2000,"SEA","ALW",1
"567",5,2000,"SEA","ANC",8
"568",5,2000,"SEA","ATL",5
"569",5,2000,"SEA","BIL",3
"570",5,2000,"SEA","BLI",1
"571",5,2000,"SEA","BNA",2
"572",5,2000,"SEA","BOS",1
"573",5,2000,"SEA","BTM",2
"574",5,2000,"SEA","BZN",1
"575",5,2000,"SEA","CLE",2
"576",5,2000,"SEA","CLM",1
"577",5,2000,"SEA","CLT",1
"578",5,2000,"SEA","CMH",1
"579",5,2000,"SEA","CRP",1
"580",5,2000,"SEA","CVG",3
"581",5,2000,"SEA","DET",1
"582",5,2000,"SEA","DFW",4
"583",5,2000,"SEA","DTW",5
"584",5,2000,"SEA","EAT",1
"585",5,2000,"SEA","EKO",1
"586",5,2000,"SEA","EUG",1
"587",5,2000,"SEA","EWR",4
"588",5,2000,"SEA","FAI",2
"589",5,2000,"SEA","FAT",1
"590",5,2000,"SEA","FCA",1
"591",5,2000,"SEA","GEG",6
"592",5,2000,"SEA","GRR",1
"593",5,2000,"SEA","GTF",2
"594",5,2000,"SEA","HLN",1
"595",5,2000,"SEA","HNL",2
"596",5,2000,"SEA","IAD",3
"597",5,2000,"SEA","IAH",3
"598",5,2000,"SEA","IND",1
"599",5,2000,"SEA","JFK",4
"600",5,2000,"SEA","JNU",3
"601",5,2000,"SEA","KTN",3
"602",5,2000,"SEA","LAS",5
"603",5,2000,"SEA","LAX",9
"604",5,2000,"SEA","LWS",1
"605",5,2000,"SEA","MAF",1
"606",5,2000,"SEA","MBS",1
"607",5,2000,"SEA","MCI",2
"608",5,2000,"SEA","MDW",1
"609",5,2000,"SEA","MEM",2
"610",5,2000,"SEA","MFR",1
"611",5,2000,"SEA","MIA",2
"612",5,2000,"SEA","MSO",1
"613",5,2000,"SEA","MSP",9
"614",5,2000,"SEA","MWH",1
"615",5,2000,"SEA","OAK",6
"616",5,2000,"SEA","OKC",1
"617",5,2000,"SEA","ORD",10
"618",5,2000,"SEA","PDX",7
"619",5,2000,"SEA","PHL",2
"620",5,2000,"SEA","PHX",7
"621",5,2000,"SEA","PIT",4
"622",5,2000,"SEA","PUW",1
"623",5,2000,"SEA","RDM",1
"624",5,2000,"SEA","RNO",6
"625",5,2000,"SEA","SAN",4
"626",5,2000,"SEA","SFO",8
"627",5,2000,"SEA","SJC",8
"628",5,2000,"SEA","SLC",6
"629",5,2000,"SEA","SMF",6
"630",5,2000,"SEA","SNA",4
"631",5,2000,"SEA","STL",2
"632",5,2000,"SEA","TYS",1
"633",5,2000,"SEA","YKM",1
"634",5,2000,"SFO","SEA",6
"635",5,2000,"SJC","SEA",7
"636",5,2000,"SLC","SEA",8
"637",5,2000,"SMF","SEA",4
"638",5,2000,"SNA","SEA",4
"639",5,2000,"STL","SEA",2
"640",5,2000,"YKM","SEA",1
"641",6,2000,"ABQ","SEA",1
"642",6,2000,"ALW","SEA",1
"643",6,2000,"ANC","SEA",9
"644",6,2000,"ATL","SEA",3
"645",6,2000,"BIL","SEA",2
"646",6,2000,"BLI","SEA",1
"647",6,2000,"BNA","SEA",2
"648",6,2000,"BOS","SEA",1
"649",6,2000,"BTM","SEA",2
"650",6,2000,"BZN","SEA",1
"651",6,2000,"CLE","SEA",1
"652",6,2000,"CLM","SEA",1
"653",6,2000,"CLT","SEA",3
"654",6,2000,"CVG","SEA",2
"655",6,2000,"DFW","SEA",4
"656",6,2000,"DTW","SEA",4
"657",6,2000,"EAT","SEA",1
"658",6,2000,"EKO","SEA",1
"659",6,2000,"EUG","SEA",1
"660",6,2000,"EWR","SEA",4
"661",6,2000,"FAI","SEA",2
"662",6,2000,"FAT","SEA",1
"663",6,2000,"FCA","SEA",1
"664",6,2000,"FSD","SEA",1
"665",6,2000,"GEG","SEA",7
"666",6,2000,"GTF","SEA",1
"667",6,2000,"HLN","SEA",2
"668",6,2000,"HNL","SEA",2
"669",6,2000,"IAD","SEA",3
"670",6,2000,"IAH","SEA",4
"671",6,2000,"JFK","SEA",4
"672",6,2000,"JNU","SEA",3
"673",6,2000,"KTN","SEA",3
"674",6,2000,"LAS","SEA",6
"675",6,2000,"LAX","SEA",9
"676",6,2000,"LWS","SEA",1
"677",6,2000,"MCI","SEA",1
"678",6,2000,"MDW","SEA",1
"679",6,2000,"MEM","SEA",1
"680",6,2000,"MFR","SEA",1
"681",6,2000,"MIA","SEA",2
"682",6,2000,"MSO","SEA",2
"683",6,2000,"MSP","SEA",9
"684",6,2000,"MWH","SEA",1
"685",6,2000,"OAK","SEA",5
"686",6,2000,"OMA","SEA",2
"687",6,2000,"ORD","SEA",11
"688",6,2000,"PDX","SEA",8
"689",6,2000,"PHL","SEA",2
"690",6,2000,"PHX","SEA",7
"691",6,2000,"PIT","SEA",2
"692",6,2000,"PUW","SEA",1
"693",6,2000,"RDM","SEA",1
"694",6,2000,"RNO","SEA",8
"695",6,2000,"SAN","SEA",3
"696",6,2000,"SEA","ABQ",1
"697",6,2000,"SEA","ACT",1
"698",6,2000,"SEA","ALW",1
"699",6,2000,"SEA","ANC",12
"700",6,2000,"SEA","ATL",4
"701",6,2000,"SEA","BDL",1
"702",6,2000,"SEA","BIL",1
"703",6,2000,"SEA","BLI",2
"704",6,2000,"SEA","BNA",1
"705",6,2000,"SEA","BOS",1
"706",6,2000,"SEA","BTM",2
"707",6,2000,"SEA","BZN",1
"708",6,2000,"SEA","CLE",1
"709",6,2000,"SEA","CLM",1
"710",6,2000,"SEA","CLT",2
"711",6,2000,"SEA","COS",1
"712",6,2000,"SEA","CVG",1
"713",6,2000,"SEA","CYS",1
"714",6,2000,"SEA","DFW",5
"715",6,2000,"SEA","DTW",4
"716",6,2000,"SEA","EAT",1
"717",6,2000,"SEA","EKO",1
"718",6,2000,"SEA","EUG",1
"719",6,2000,"SEA","EWR",4
"720",6,2000,"SEA","FAI",2
"721",6,2000,"SEA","FAT",1
"722",6,2000,"SEA","FCA",1
"723",6,2000,"SEA","GEG",7
"724",6,2000,"SEA","GTF",1
"725",6,2000,"SEA","HLN",2
"726",6,2000,"SEA","HNL",2
"727",6,2000,"SEA","IAD",4
"728",6,2000,"SEA","IAH",3
"729",6,2000,"SEA","ICT",1
"730",6,2000,"SEA","JFK",4
"731",6,2000,"SEA","JNU",3
"732",6,2000,"SEA","KTN",3
